symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted,median_adv_usd
AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen PRO, Ryzen, Threadripper, AMD A-Series, AMD FX, AMD Athlon, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen, AMD A-Series, AMD Athlon, AMD Ryzen PRO, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for servers under the AMD EPYC and AMD Opteron brands; and chipsets under the AMD trademark. It also offers discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics and AMD Embedded Radeon brands; professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands; and Radeon Instinct and AMD Instinct accelerators for servers. In addition, the company provides embedded processor solutions under the AMD Opteron, AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. Advanced Micro Devices, Inc. was founded in 1969 and is headquartered in Santa Clara, California.",USD,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,NMS,XNAS,NASDAQ Global Select,United States,CA,Santa Clara,95054,http://www.amd.com,Mega Cap,US0079031078,007903107,BBG000BBQPP1,BBG000BBQCY0,BBG001S5NN36,False,982227284.1952801
INTC,Intel Corporation,"Intel Corporation designs, manufactures, and sells essential technologies for the cloud, smart, and connected devices for retail, industrial, and consumer uses worldwide. The company operates through DCG, IOTG, Mobileye, NSG, PSG, CCG, and All Other segments. It offers platform products, such as central processing units and chipsets, and system-on-chip and multichip packages; and non-platform or adjacent products comprising accelerators, boards and systems, connectivity products, and memory and storage products. The company also provides Internet of Things products, including high-performance compute solutions for targeted verticals and embedded applications; and computer vision and machine learning-based sensing, data analysis, localization, mapping, and driving policy technology. It serves original equipment manufacturers, original design manufacturers, and cloud service providers. Intel Corporation has a strategic partnership with MILA to develop and apply advances in artificial intelligence methods for enhancing the search in the space of drugs. The company was founded in 1968 and is headquartered in Santa Clara, California.",USD,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,NMS,XNAS,NASDAQ Global Select,United States,CA,Santa Clara,95054-1549,http://www.intel.com,Mega Cap,,458140100,BBG000C0G1D1,BBG000C0G1D1,BBG001S5SF65,False,946520404.0208817
V,Visa Inc.,"Visa Inc. operates as a payments technology company worldwide. The company facilitates digital payments among consumers, merchants, financial institutions, businesses, strategic partners, and government entities. It operates VisaNet, a transaction processing network that enables authorization, clearing, and settlement of payment transactions. In addition, the company offers card products, platforms, and value-added services. It provides its services under the Visa, Visa Electron, Interlink, VPAY, and PLUS brands. The company was founded in 1958 and is headquartered in San Francisco, California.",USD,Financials,Diversified Financials,Consumer Finance,NYQ,XNYS,New York Stock Exchange,United States,CA,San Francisco,94128,http://usa.visa.com,Mega Cap,,92826C839,BBG000PSKYX7,BBG000PSKYX7,BBG001SRCFY3,False,883855283.0841064
C,Citigroup Inc.,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services to consumers, corporations, governments, and institutions in North America, Latin America, Asia, Europe, the Middle East, and Africa. The company operates in two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, Citi-branded cards, and Citi retail services. It also provides various banking, credit card, lending, and investment services through a network of local branches, offices, and electronic delivery systems. The ICG segment offers wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative, equity and fixed income research, corporate lending, investment banking and advisory, private banking, cash management, trade finance, and securities services to corporate, institutional, public sector, and high-net-worth clients. As of December 31, 2020, it operated 2,303 branches primarily in the United States, Mexico, and Asia. Citigroup Inc. was founded in 1812 and is headquartered in New York, New York.",USD,Financials,Banks,Banks,NYQ,XNYS,New York Stock Exchange,United States,NY,New York,10013,http://www.citigroup.com,Large Cap,,172967424,BBG000FY4VG8,BBG000FY4S11,BBG001S72ZG4,False,868298204.7208786
XOM,Exxon Mobil Corporation,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States and internationally. It operates through Upstream, Downstream, and Chemical segments. The company is also involved in the manufacture, trade, transport, and sale of crude oil, natural gas, petroleum products, petrochemicals, and other specialty products; and manufactures and sells petrochemicals, including olefins, polyolefins, aromatics, and various other petrochemicals. As of December 31, 2020, it had approximately 22,239 net operated wells with proved reserves. The company was founded in 1870 and is based in Irving, Texas.",USD,Energy,Energy,"Oil, Gas & Consumable Fuels",NYQ,XNYS,New York Stock Exchange,United States,TX,Irving,75039-2298,http://corporate.exxonmobil.com,Mega Cap,,30231G102,BBG000GZQ728,BBG000GZQ728,BBG001S69V32,False,850789103.0670166
BA,Boeing Company (The),"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sales, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide. The company operates through four segments: Commercial Airplanes; Defense, Space & Security; Global Services; and Boeing Capital. The Commercial Airplanes segment provides commercial jet aircraft for passenger and cargo requirements, as well as fleet support services. The Defense, Space & Security segment engages in the research, development, production, and modification of manned and unmanned military aircraft and weapons systems; strategic defense and intelligence systems, which include strategic missile and defense systems, command, control, communications, computers, intelligence, surveillance and reconnaissance, cyber and information solutions, and intelligence systems; and satellite systems, such as government and commercial satellites, and space exploration. The Global Services segment offers products and services, including supply chain and logistics management, engineering, maintenance and modifications, upgrades and conversions, spare parts, pilot and maintenance training systems and services, technical and maintenance documents, and data analytics and digital services to commercial and defense customers. The Boeing Capital segment offers financing services and manages financing exposure for a portfolio of equipment under operating and finance leases, notes and other receivables, assets held for sale or re-lease, and investments. The company was founded in 1916 and is based in Chicago, Illinois.",USD,Industrials,Capital Goods,Aerospace & Defense,NYQ,XNYS,New York Stock Exchange,United States,IL,Chicago,60606-1596,http://www.boeing.com,Large Cap,US0970231058,097023105,BBG000BCSV38,BBG000BCSST7,BBG001S5P0V3,False,821926032.0655823
MU,"Micron Technology, Inc.","Micron Technology, Inc. designs, manufactures, and sells memory and storage products worldwide. The company operates through four segments: Compute and Networking Business Unit, Mobile Business Unit, Storage Business Unit, and Embedded Business Unit. It offers memory and storage technologies, including DRAM, NAND, NOR, and 3D XPoint memory under the Micron and Crucial brands, as well as through private labels. The company provides memory products for the cloud server, enterprise, client, graphics, and networking markets, as well as for smartphone and other mobile-device markets; SSDs and component-level solutions for the enterprise and cloud, client, and consumer storage markets; other discrete storage products in component and wafer forms for the removable storage markets, as well as 3D XPoint memory products; and memory and storage products for the automotive, industrial, and consumer markets. It markets its products through its direct sales force, independent sales representatives, distributors, and retailers; and web-based customer direct sales channel, as well as through channel and distribution partners. Micron Technology, Inc. was founded in 1978 and is headquartered in Boise, Idaho.",USD,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,NMS,XNAS,NASDAQ Global Select,United States,ID,Boise,83716-9632,http://www.micron.com,Mega Cap,US5951121038,595112103,BBG000C60FN3,BBG000C5Z1S3,BBG001S6P675,False,815630975.062561
DIS,Walt Disney Company,"The Walt Disney Company, together with its subsidiaries, operates as an entertainment company worldwide. The company's Media Networks segment operates domestic cable networks under the Disney, ESPN, Freeform, FX, and National Geographic brands; and television broadcast network under the ABC brand, as well as eight domestic television stations. This segment is also involved in the television production and distribution. Its Parks, Experiences and Products segment operates theme parks and resorts, such as Walt Disney World Resort in Florida; Disneyland Resort in California; Disneyland Paris; Hong Kong Disneyland Resort; and Shanghai Disney Resort; Disney Cruise Line, Disney Vacation Club, National Geographic Expeditions, and Adventures by Disney and Aulani, a Disney resort and spa in Hawaii, as well as licenses its intellectual property to a third party for the operations of the Tokyo Disney Resort in Japan. The company's Studio Entertainment segment produces and distributes motion pictures under the Walt Disney Pictures, Twentieth Century Studios, Marvel, Lucasfilm, Pixar, Searchlight Pictures, and Blue Sky Studios banners; develops, produces, and licenses live entertainment events; produces and distributes music; and provides post-production services through Industrial Light & Magic and Skywalker Sound. Its Direct-To-Consumer & International segment operates international television networks and channels comprising Disney, ESPN, Fox, National Geographic, and Star; direct-to-consumer videos streaming services consisting of Disney+/Disney+Hotstar, ESPN+, and Hulu; and operates branded apps and Websites, such as Disney Movie Club and Disney Digital Network, as well as provides streaming technology support services. The company was founded in 1923 and is based in Burbank, California.",USD,Communication Services,Media & Entertainment,Entertainment,NYQ,XNYS,New York Stock Exchange,United States,CA,Burbank,91521,http://www.thewaltdisneycompany.com,Large Cap,US2546871060,254687106,BBG000BH4SB1,BBG000BH4R78,BBG001S5QHF3,False,754774274.4659424
GE,General Electric Company,"General Electric Company operates as a high-tech industrial company worldwide. The company's Power segment offers heavy-duty and aeroderivative gas turbines for utilities, independent power producers, and industrial applications; maintenance, service, and upgrade solutions to plant assets and their operational lifecycle; steam power technology for fossil and nuclear applications, including boilers, generators, steam turbines, and air quality control systems; and advanced reactor technologies solutions comprising reactors, fuels, and support services for boiling water reactors. This segment also applies the science and systems of power conversion to provide motors, generators, automation, and control equipment; and drives for energy intensive industries, such as marine, oil and gas, mining, rail, metals, test systems, and water. Its Renewable Energy segment provides various solutions for its customers through combining onshore and offshore wind, blades, hydro, storage, solar, and grid solutions, as well as hybrid renewables and digital services offerings. The company's Aviation segment designs and produces commercial and military aircraft engines, integrated engine components, electric power, and mechanical aircraft systems; and provides aftermarket services. Its Healthcare segment develops, manufactures, markets, and services magnetic resonance, computed tomography, molecular imaging, x-ray and high-frequency soundwave systems, clinical monitoring and acute care systems, enterprise digital, artificial intelligence applications, consulting and command center, and complementary software and services; and researches, manufactures, and markets imaging agents. The company's Capital segment offers aviation leasing and financing, and working capital services; financial solutions and underwriting capabilities; and insurance and reinsurance for life and health risks, as well as annuity products. The company was founded in 1878 and is headquartered in Boston, Massachusetts.",USD,Industrials,Capital Goods,Machinery,NYQ,XNYS,New York Stock Exchange,United States,MA,Boston,2210,http://www.ge.com,Mega Cap,CA73689L2075,369604301,BBG000BK6PH2,BBG000BK6MB5,BBG001S5PVD5,False,737705564.6365585
WFC,Wells Fargo & Company,"Wells Fargo & Company (NYSE: WFC) is a leading financial services company that has approximately $1.9 trillion in assets and proudly serves one in three U.S. households and more than 10% of all middle market companies in the U.S. We provide a diversified set of banking, investment and mortgage products and services, as well as consumer and commercial finance, through our four reportable operating segments: Consumer Banking and Lending, Commercial Banking, Corporate and Investment Banking, and Wealth and Investment Management. Wells Fargo ranked No. 30 on Fortune's 2020 rankings of America's largest corporations. In the communities we serve, the company focuses its social impact on building a sustainable, inclusive future for all by supporting housing affordability, small business growth, financial health and a low-carbon economy.",USD,Financials,Banks,Banks,NYQ,XNYS,New York Stock Exchange,United States,CA,San Francisco,94104,http://www.wellsfargo.com,Mega Cap,,949746101,BBG000BWQHB8,BBG000BWQFY7,BBG001S5XF23,False,736431967.8348541
BRK-B,Berkshire Hathaway Inc.,"Berkshire Hathaway Inc., through its subsidiaries, engages in the insurance, freight rail transportation, and utility businesses worldwide. It provides property, casualty, life, accident, and health insurance and reinsurance; and operates railroad systems in North America. The company also generates, transmits, stores, and distributes electricity from natural gas, coal, wind, solar, hydro, nuclear, and geothermal sources; operates natural gas distribution and storage facilities, interstate pipelines, liquefied natural gas facilities, and compressor and meter stations; and holds interest in coal mining assets. In addition, the company manufactures boxed chocolates and other confectionery products; specialty chemicals, metal cutting tools, and components for aerospace and power generation applications; and flooring, insulation, roofing and engineered, building and engineered components, paints and coatings, and bricks and masonry products, as well as offers manufactured and site-built home construction, and related lending and financial services; and recreational vehicles, apparel products, jewelry, and custom picture framing products, and alkaline batteries. Further, it manufactures castings, forgings, fasteners/fastener systems, and aerostructures; and seamless pipes, fittings, downhole casing and tubing, and various mill forms. Additionally, the company distributes televisions and information; franchises and services quick service restaurants; distributes electronic components; and offers logistics services, grocery and foodservice distribution services, and professional aviation training and shared aircraft ownership programs. It also retails automobiles; furniture, bedding, and accessories; household appliances, electronics, and computers; jewelry, watches, crystal, china, stemware, flatware, gifts, and collectibles; kitchenware; and motorcycle apparel and equipment. The company was incorporated in 1998 and is headquartered in Omaha, Nebraska.",USD,Financials,Insurance,Insurance,NYQ,XNYS,New York Stock Exchange,United States,NE,Omaha,68131,http://www.berkshirehathaway.com,Mega Cap,,,,,,False,728595328.8314819
JNJ,Johnson & Johnson,"Johnson & Johnson researches and develops, manufactures, and sells a range of products in the health care field worldwide. It operates through three segments: Consumer Health, Pharmaceutical, and Medical Devices. The Consumer Health segment offers baby care products under the JOHNSON'S and AVEENO Baby brands; oral care products under the LISTERINE brand; skin health/beauty products under the AVEENO, CLEAN & CLEAR, DR. CI:LABO, NEUTROGENA, and OGX brands; acetaminophen products under the TYLENOL brand; cold, flu, and allergy products under the SUDAFED brand; allergy products under the BENADRYL and ZYRTEC brands; ibuprofen products under the MOTRIN IB brand; smoking cessation products under the NICORETTE brand; and acid reflux products under the PEPCID brand. This segment also provides women's health products, such as sanitary pads and tampons under the STAYFREE, CAREFREE, and o.b. brands; wound care products comprising adhesive bandages under the BAND-AID brand; and first aid products under the NEOSPORIN brand. The Pharmaceutical segment offers products in various therapeutic areas, including immunology, infectious diseases, neuroscience, oncology, pulmonary hypertension, and cardiovascular and metabolic diseases. The Medical Devices segment provides electrophysiology products to treat cardiovascular diseases and neurovascular care products to treat hemorrhagic and ischemic stroke; orthopaedics products in support of hips, knees, trauma, spine, sports, and other; advanced and general surgery solutions that focus on breast aesthetics, ear, nose, and throat procedures; and disposable contact lenses and ophthalmic products related to cataract and laser refractive surgery under the ACUVUE brand. The company markets its products to general public, and retail outlets and distributors, as well as distributes directly to wholesalers, hospitals, and health care professionals for prescription use. Johnson & Johnson was founded in 1886 and is based in New Brunswick, New Jersey.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,NYQ,XNYS,New York Stock Exchange,United States,NJ,New Brunswick,8933,http://www.jnj.com,Mega Cap,US4781601046,478160104,BBG000BMHZY5,BBG000BMHYD1,BBG001S5SHQ9,False,700691859.9422455
CSCO,"Cisco Systems, Inc.","Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking and other products related to the communications and information technology industry in the Americas, Europe, the Middle East, Africa, the Asia Pacific, Japan, and China. It provides infrastructure platforms, including networking technologies of switching, routing, wireless, and data center products that are designed to work together to deliver networking capabilities, and transport and/or store data. The company also offers collaboration products comprising unified communications, Cisco TelePresence, and conferencing, as well as the Internet of Things and analytics software. In addition, it provides security products, such as network security, cloud and email security, identity and access management, advanced threat protection, and unified threat management products; and cloud and system management products. Further, the company offers a range of service and support options for its customers, including technical support and advanced services. It serves businesses of various sizes, public institutions, governments, and service providers. The company sells its products and services directly, as well as through systems integrators, service providers, other resellers, and distributors. Cisco Systems, Inc. has strategic alliances with Internet2 to deliver next-generation capabilities and software solutions; and Tele2 Iot on connectivity management platform 2CONTROL. Cisco Systems, Inc. was founded in 1984 and is headquartered in San Jose, California.",USD,Information Technology,Technology Hardware & Equipment,Communications Equipment,NMS,XNAS,NASDAQ Global Select,United States,CA,San Jose,95134,http://www.cisco.com,Mega Cap,,17275R102,BBG000C3JBN9,BBG000C3J3C9,BBG001S6HC62,False,697515864.2749786
